epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.956115856170654,386.10751083792246,0.003475,0.0
1,val,5.968183517456055,390.7951530499842,0.002625,0.0
2,train,5.930137130737305,376.2060997074848,0.00601875,0.0
2,val,5.965384399414062,389.7028008110094,0.00284375,0.0
3,train,5.725141008758545,306.4764780642945,0.044125,0.0
3,val,5.877533874511719,356.92792638169095,0.03728125,0.0
4,train,5.288473509979248,198.04088711939943,0.08996875,0.0
4,val,5.649084854125976,284.03141667155546,0.06309375,0.0
5,train,3.8697976547241213,47.932686146882446,0.309271875,0.0
5,val,4.273864624023438,71.79857463834104,0.2473125,0.0
6,train,0.5528108435153961,1.7381317743715603,0.915684375,0.24315
6,val,0.702914608001709,2.019630568895098,0.87871875,0.121
7,train,0.080491712474823,1.083819864420617,0.99273125,0.8909
7,val,0.14011246490478516,1.150403171565301,0.976875,0.683
8,train,0.022922614145278932,1.02318735625532,0.99948125,0.9918
8,val,0.057706201314926146,1.0594036985695794,0.99071875,0.86
9,train,0.009939034259319305,1.009988590504657,1.0,1.0
9,val,0.0338428989648819,1.0344220851819694,0.9943125,0.914
10,train,0.006302587477117777,1.0063224905732688,1.0,1.0
10,val,0.026051869451999665,1.0263941855966825,0.995625,0.931
11,train,0.004583194313198328,1.0045937132121676,1.0,1.0
11,val,0.022024512887001038,1.0222688429239408,0.995875,0.9355
12,train,0.003541587685793638,1.003547866517618,1.0,1.0
12,val,0.01923795396089554,1.0194241957839536,0.9960625,0.9385
13,train,0.002837246684357524,1.0028412754780576,1.0,1.0
13,val,0.017185663878917692,1.0173341870033386,0.996375,0.9435
14,train,0.0023264789145439864,1.0023291872665145,1.0,1.0
14,val,0.015357961058616637,1.0154765006070297,0.99678125,0.9495
15,train,0.0019391645168885588,1.0019410459123155,1.0,1.0
15,val,0.014233184009790421,1.0143349580563046,0.996875,0.9515
16,train,0.0016398954259231686,1.0016412407897453,1.0,1.0
16,val,0.012889939069747924,1.0129733724326135,0.997375,0.9585
17,train,0.0014000297920778394,1.0014010102913098,1.0,1.0
17,val,0.012084394872188568,1.0121577061818832,0.99734375,0.9575
18,train,0.0012062859242781996,1.0012070137797817,1.0,1.0
18,val,0.011208930224180222,1.0112719856569865,0.9974375,0.959
19,train,0.0010485914774239064,1.0010491414416796,1.0,1.0
19,val,0.010642313659191131,1.010699144504173,0.99746875,0.9595
20,train,0.0009166489877738058,1.000917069238855,1.0,1.0
20,val,0.010032862022519112,1.0100833599208932,0.99753125,0.9605
