experiment_name,output_dir,parsed_block_size,epoch,split,loss,perplexity,bpc
tiny_shakespeare_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_256,256,7,train,1.5726272106170653,4.819292873788106,2.2688214779242837
tiny_shakespeare_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_256,256,7,val,1.7179063767165825,5.572848796135169,2.478415010400541
tiny_shakespeare_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_256,256,8,train,1.5270150105158489,4.604412166945449,2.2030169830342237
tiny_shakespeare_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_256,256,8,val,1.6838788322094491,5.38640847798759,2.429323640686471
tiny_shakespeare_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_256,256,9,train,1.488477603594462,4.430345640033923,2.147419257180019
tiny_shakespeare_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_256,256,9,val,1.6588419592914847,5.253223873550587,2.393203068288357
tiny_shakespeare_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_256,256,10,train,1.4643745342890422,4.324837356698197,2.1126458786228866
tiny_shakespeare_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_256,256,10,val,1.6356780442596446,5.132937175962492,2.3597846029443477
tiny_shakespeare_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_512,512,1,train,3.082704210281372,21.81732132033836,4.447402076700464
tiny_shakespeare_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_512,512,1,val,2.480758493329802,11.95032522310522,3.578977975970082
