model_name,seed,input_seq_len,num_kv_pairs,vocab_size,params,answer_acc,exact_match,answer_loss,regime,output_dir,status
mamba2_split_ts_50_50,43,128,16,640,1997376,0.99931250,0.98900000,0.00712427,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_50_50_v640_seed43,ok
mamba2_split_ts_50_50,44,128,16,640,1997376,0.99806250,0.97000000,0.00948628,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_50_50_v640_seed44,ok
mamba2_split_ts_50_50,42,128,16,704,2030208,0.99881250,0.98100000,0.00677000,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_50_50_v704_seed42,ok
mamba2_split_ts_50_50,43,128,16,704,2030208,0.99796875,0.96900000,0.00948421,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_50_50_v704_seed43,ok
mamba2_split_ts_50_50,44,128,16,704,2030208,0.99740625,0.95950000,0.01245668,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_50_50_v704_seed44,ok
mamba2_split_ts_50_50,42,128,16,768,2063040,0.99881250,0.98100000,0.00706880,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_50_50_v768_seed42,ok
mamba2_split_ts_50_50,43,128,16,768,2063040,0.99871875,0.97950000,0.00741549,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_50_50_v768_seed43,ok
mamba2_split_ts_50_50,44,128,16,768,2063040,0.99696875,0.95300000,0.01484262,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_50_50_v768_seed44,ok
mamba2_split_ts_50_50,42,128,16,896,2128704,0.99537500,0.92800000,0.02141547,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_50_50_v896_seed42,ok
mamba2_split_ts_50_50,43,128,16,896,2128704,0.98809375,0.82350000,0.05184660,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_50_50_v896_seed43,ok
mamba2_split_ts_50_50,44,128,16,896,2128704,0.00218750,0.00000000,6.12220604,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_50_50_v896_seed44,ok
mamba2_split_ts_50_50,42,128,16,1024,2194368,0.00178125,0.00000000,6.25838919,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_50_50_v1024_seed42,ok
mamba2_split_ts_50_50,43,128,16,1024,2194368,0.00203125,0.00000000,6.25781200,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_50_50_v1024_seed43,ok
mamba2_split_ts_50_50,44,128,16,1024,2194368,0.00181250,0.00000000,6.25955093,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_50_50_v1024_seed44,ok
mamba2_split_ts_50_50,42,128,16,1280,2325696,0.00165625,0.00000000,6.48319354,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_50_50_v1280_seed42,ok
mamba2_split_ts_50_50,43,128,16,1280,2325696,0.00165625,0.00000000,6.48264380,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_50_50_v1280_seed43,ok
mamba2_split_ts_50_50,44,128,16,1280,2325696,0.00184375,0.00000000,6.48459497,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_50_50_v1280_seed44,ok
mamba2_split_ts_50_50,42,128,16,1536,2457024,0.00115625,0.00000000,6.66489474,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_50_50_v1536_seed42,ok
mamba2_split_ts_50_50,43,128,16,1536,2457024,0.00156250,0.00000000,6.66666476,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_50_50_v1536_seed43,ok
mamba2_split_ts_50_50,44,128,16,1536,2457024,0.00134375,0.00000000,6.66747015,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_50_50_v1536_seed44,ok
mamba2_split_ts_50_50,42,128,16,2048,2719680,0.00078125,0.00000000,6.95735052,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_50_50_v2048_seed42,ok
mamba2_split_ts_50_50,43,128,16,2048,2719680,0.00093750,0.00000000,6.95638126,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_50_50_v2048_seed43,ok
mamba2_split_ts_50_50,44,128,16,2048,2719680,0.00109375,0.00000000,6.95550626,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_50_50_v2048_seed44,ok
mamba2_split_ts_slow_default,42,128,16,512,1931712,0.99925000,0.98850000,0.00432876,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_default_v512_seed42,ok
mamba2_split_ts_slow_default,43,128,16,512,1931712,0.99912500,0.98600000,0.00400952,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_default_v512_seed43,ok
mamba2_split_ts_slow_default,44,128,16,512,1931712,0.99884375,0.98250000,0.00641238,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_default_v512_seed44,ok
mamba2_split_ts_slow_default,42,128,16,768,2063040,0.99718750,0.95550000,0.01119791,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_default_v768_seed42,ok
mamba2_split_ts_slow_default,43,128,16,768,2063040,0.99881250,0.98150000,0.00662551,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_default_v768_seed43,ok
mamba2_split_ts_slow_default,44,128,16,768,2063040,0.99809375,0.97050000,0.00899041,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_default_v768_seed44,ok
mamba2_split_ts_slow_default,42,128,16,896,2128704,0.99696875,0.95150000,0.01410239,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_default_v896_seed42,ok
mamba2_split_ts_slow_default,43,128,16,896,2128704,0.99578125,0.93450000,0.01653940,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_default_v896_seed43,ok
mamba2_split_ts_slow_default,44,128,16,896,2128704,0.99843750,0.97500000,0.00743804,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_default_v896_seed44,ok
mamba2_split_ts_slow_default,42,128,16,1024,2194368,0.00193750,0.00000000,6.25824019,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_default_v1024_seed42,ok
mamba2_split_ts_slow_default,43,128,16,1024,2194368,0.99740625,0.95900000,0.01312866,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_default_v1024_seed43,ok
mamba2_split_ts_slow_default,44,128,16,1024,2194368,0.00178125,0.00000000,6.25931958,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_default_v1024_seed44,ok
mamba2_split_ts_slow_default,42,128,16,1280,2325696,0.00156250,0.00000000,6.48308893,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_default_v1280_seed42,ok
mamba2_split_ts_slow_default,43,128,16,1280,2325696,0.00162500,0.00000000,6.48246628,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_default_v1280_seed43,ok
mamba2_split_ts_slow_default,44,128,16,1280,2325696,0.00184375,0.00000000,6.48432089,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_default_v1280_seed44,ok
mamba2_split_ts_slow_veryslow,42,128,16,512,1931712,0.99871875,0.97950000,0.00584621,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_veryslow_v512_seed42,ok
mamba2_split_ts_slow_veryslow,43,128,16,512,1931712,0.99821875,0.97150000,0.00626487,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_veryslow_v512_seed43,ok
mamba2_split_ts_slow_veryslow,44,128,16,512,1931712,0.99825000,0.97200000,0.00637801,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_veryslow_v512_seed44,ok
mamba2_split_ts_slow_veryslow,42,128,16,768,2063040,0.99640625,0.94500000,0.01438126,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_veryslow_v768_seed42,ok
mamba2_split_ts_slow_veryslow,43,128,16,768,2063040,0.99900000,0.98400000,0.00612339,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_veryslow_v768_seed43,ok
mamba2_split_ts_slow_veryslow,44,128,16,768,2063040,0.99690625,0.95100000,0.01267112,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_veryslow_v768_seed44,ok
mamba2_split_ts_slow_veryslow,42,128,16,896,2128704,0.99828125,0.97250000,0.00990628,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_veryslow_v896_seed42,ok
mamba2_split_ts_slow_veryslow,43,128,16,896,2128704,0.99740625,0.96000000,0.01063710,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_veryslow_v896_seed43,ok
mamba2_split_ts_slow_veryslow,44,128,16,896,2128704,0.99796875,0.96750000,0.00906011,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_veryslow_v896_seed44,ok
mamba2_split_ts_slow_veryslow,42,128,16,1024,2194368,0.99731250,0.95850000,0.01253981,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_veryslow_v1024_seed42,ok
mamba2_split_ts_slow_veryslow,43,128,16,1024,2194368,0.99850000,0.97600000,0.00838039,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_veryslow_v1024_seed43,ok
mamba2_split_ts_slow_veryslow,44,128,16,1024,2194368,0.99834375,0.97350000,0.00901278,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_veryslow_v1024_seed44,ok
mamba2_split_ts_slow_veryslow,42,128,16,1280,2325696,0.00171875,0.00000000,6.48322708,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_veryslow_v1280_seed42,ok
mamba2_split_ts_slow_veryslow,43,128,16,1280,2325696,0.00193750,0.00000000,6.48177039,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_veryslow_v1280_seed43,ok
mamba2_split_ts_slow_veryslow,44,128,16,1280,2325696,0.00178125,0.00000000,6.48408218,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_split_ts_slow_veryslow_v1280_seed44,ok
mamba2_wide_init,42,128,16,512,1931712,0.99762500,0.96300000,0.01258529,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v512_seed42,ok
mamba2_wide_init,43,128,16,512,1931712,0.01618750,0.00000000,5.55371858,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v512_seed43,ok
mamba2_wide_init,44,128,16,512,1931712,0.99171875,0.87650000,0.02977552,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v512_seed44,ok
mamba2_wide_init,42,128,16,640,1997376,0.97531250,0.67000000,0.08666084,interesting,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v640_seed42,ok
mamba2_wide_init,43,128,16,640,1997376,0.99312500,0.89550000,0.02388575,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v640_seed43,ok
mamba2_wide_init,44,128,16,640,1997376,0.01371875,0.00000000,5.78390459,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v640_seed44,ok
mamba2_wide_init,42,128,16,704,2030208,0.00556250,0.00000000,5.88104756,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v704_seed42,ok
mamba2_wide_init,43,128,16,704,2030208,0.03559375,0.00000000,5.82564851,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v704_seed43,ok
mamba2_wide_init,44,128,16,704,2030208,0.00284375,0.00000000,5.88103845,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v704_seed44,ok
mamba2_wide_init,42,128,16,768,2063040,0.00287500,0.00000000,5.96985181,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v768_seed42,ok
mamba2_wide_init,43,128,16,768,2063040,0.00240625,0.00000000,5.97022736,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v768_seed43,ok
mamba2_wide_init,44,128,16,768,2063040,0.00509375,0.00000000,5.96817035,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v768_seed44,ok
mamba2_wide_init,42,128,16,896,2128704,0.00203125,0.00000000,6.12334343,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v896_seed42,ok
mamba2_wide_init,43,128,16,896,2128704,0.00218750,0.00000000,6.12540506,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v896_seed43,ok
mamba2_wide_init,44,128,16,896,2128704,0.00237500,0.00000000,6.12327113,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v896_seed44,ok
mamba2_wide_init,42,128,16,1024,2194368,0.00221875,0.00000000,6.25643671,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v1024_seed42,ok
mamba2_wide_init,43,128,16,1024,2194368,0.00209375,0.00000000,6.25774910,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v1024_seed43,ok
mamba2_wide_init,44,128,16,1024,2194368,0.00200000,0.00000000,6.25990945,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v1024_seed44,ok
mamba2_wide_init,42,128,16,1280,2325696,0.00181250,0.00000000,6.48550085,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v1280_seed42,ok
mamba2_wide_init,43,128,16,1280,2325696,0.00121875,0.00000000,6.48317059,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v1280_seed43,ok
mamba2_wide_init,44,128,16,1280,2325696,0.00128125,0.00000000,6.48290433,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v1280_seed44,ok
mamba2_wide_init,42,128,16,1536,2457024,0.00118750,0.00000000,6.66765332,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v1536_seed42,ok
mamba2_wide_init,43,128,16,1536,2457024,0.00156250,0.00000000,6.66796082,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v1536_seed43,ok
mamba2_wide_init,44,128,16,1536,2457024,0.00146875,0.00000000,6.66775467,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v1536_seed44,ok
mamba2_wide_init,42,128,16,2048,2719680,0.00093750,0.00000000,6.95618381,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v2048_seed42,ok
mamba2_wide_init,43,128,16,2048,2719680,0.00146875,0.00000000,6.95575916,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v2048_seed43,ok
mamba2_wide_init,44,128,16,2048,2719680,0.00078125,0.00000000,6.95664801,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v2048_seed44,ok
ms_gated_right_init,42,128,16,512,2898336,0.99856250,0.97700000,0.00559598,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v512_seed42,ok
ms_gated_right_init,43,128,16,512,2898336,0.99859375,0.97800000,0.00547077,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v512_seed43,ok
ms_gated_right_init,44,128,16,512,2898336,0.99746875,0.95950000,0.01004602,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v512_seed44,ok
ms_gated_right_init,42,128,16,640,2964000,0.99884375,0.98150000,0.00640352,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v640_seed42,ok
ms_gated_right_init,43,128,16,640,2964000,0.99834375,0.97350000,0.00784415,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v640_seed43,ok
