epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.956527752685547,386.2665799337648,0.003459375,0.0
1,val,5.968066299438477,390.74934750153494,0.0026875,0.0
2,train,5.927191495513916,375.09956429387347,0.0071625,0.0
2,val,5.965405532836914,389.71103665211086,0.005125,0.0
3,train,5.8127445777893065,334.53602699491915,0.0269375,0.0
3,val,5.938006820678711,379.17840528785473,0.02234375,0.0
4,train,5.516494930267334,248.76158063393385,0.061496875,0.0
4,val,5.867519226074219,353.3712577999314,0.04103125,0.0
5,train,4.79134550704956,120.46334394783071,0.180815625,0.0
5,val,5.303929962158203,201.12567514671568,0.13365625,0.0
6,train,2.225715936279297,9.260110080026687,0.6202875,0.00015
6,val,2.556849021911621,12.89512098891494,0.5484375,0.0
7,train,0.18451211211681365,1.2026315476104463,0.979375,0.72145
7,val,0.27558907318115233,1.3173064362480298,0.95709375,0.5045
8,train,0.032773979520797726,1.033316962050755,0.9987875,0.9807
8,val,0.06708652400970459,1.0693880019096353,0.99103125,0.866
9,train,0.01273617996275425,1.012817630525135,0.999965625,0.99945
9,val,0.034577166199684144,1.0351819063478296,0.995375,0.928
10,train,0.00745456235408783,1.0074824167751881,1.0,1.0
10,val,0.024817827224731446,1.0251283530358906,0.99634375,0.943
11,train,0.0053183946132659915,1.0053325623793519,1.0,1.0
11,val,0.020194163024425508,1.020399444636131,0.9968125,0.9495
12,train,0.004050776260346174,1.0040589917437848,1.0,1.0
12,val,0.016893928408622742,1.0170374378240812,0.99709375,0.954
13,train,0.0032169696621596813,1.0032221496622082,1.0,1.0
13,val,0.014750572800636292,1.0148598993814346,0.9973125,0.9575
14,train,0.0026191499959677456,1.0026225829658184,1.0,1.0
14,val,0.013175911724567413,1.0132630965418012,0.9975,0.9605
15,train,0.0021758254535496234,1.0021781942794907,1.0,1.0
15,val,0.011655610114336013,1.011723801417452,0.99784375,0.966
16,train,0.0018336214751005172,1.0018353035869192,1.0,1.0
16,val,0.010652769327163697,1.0107097120940935,0.998,0.9685
17,train,0.0015629123229533434,1.001564134306953,1.0,1.0
17,val,0.009640876799821854,1.009687499760847,0.99815625,0.971
18,train,0.0013451085023581982,1.0013460135665575,1.0,1.0
18,val,0.008975772231817246,1.0090161752677398,0.99825,0.9725
19,train,0.0011673937801271678,1.0011680754494792,1.0,1.0
19,val,0.008267091929912568,1.0083013586981522,0.99846875,0.976
20,train,0.0010190656075254082,1.001019585031309,1.0,1.0
20,val,0.007652117818593979,1.007681470093404,0.99846875,0.976
