epoch,split,loss,perplexity,bpc
1,train,2.527889776229858,12.527043360629516,3.646974044080728
1,val,2.147364503979683,8.56226282538568,3.0979921208724774
2,train,2.0260384321212768,7.5839823078269655,2.922955598671817
2,val,1.9376239473819732,6.942236239879585,2.7954004599956708
3,train,1.8634528636932373,6.445955395768067,2.688394205380571
3,val,1.8063599086999893,6.088245279140888,2.6060264823421155
4,train,1.7453091224034627,5.727671753449581,2.5179488157097447
4,val,1.697411590576172,5.459796896251366,2.448847284071691
5,train,1.659643252690633,5.2574349340869,2.394359090301605
5,val,1.6251727924346924,5.079296625388022,2.3446287282331992
6,train,1.5978337287902833,4.942314426090321,2.3051867966908626
6,val,1.572832538485527,4.820282510517897,2.2691177034218697
7,train,1.5563953399658204,4.741698192318581,2.2454038386313813
7,val,1.5271792681217193,4.605168538782646,2.2032539566676412
8,train,1.5254359086354574,4.5971470687093365,2.200738820582324
8,val,1.4975598726272583,4.470766509800502,2.160522201673653
9,train,1.5031032721201578,4.495618573421774,2.168519636631726
9,val,1.4704663337469102,4.3512638091637,2.1214344874908426
10,train,1.4722532113393147,4.359045935746092,2.1240124069320805
10,val,1.4527189998030663,4.274721695505584,2.095830496821059
