arch_name,n_ok,params_mean,best_val_bpc_mean,best_val_bpc_std,best_val_bpc_sem,best_val_bpc_ci95_low,best_val_bpc_ci95_high,final_val_bpc_mean,final_val_bpc_std,final_val_bpc_sem,final_val_bpc_ci95_low,final_val_bpc_ci95_high,best_val_loss_mean,best_val_loss_std,best_val_loss_sem,best_val_loss_ci95_low,best_val_loss_ci95_high,final_val_loss_mean,final_val_loss_std,final_val_loss_sem,final_val_loss_ci95_low,final_val_loss_ci95_high
mamba2_depth4,3,1682907,2.10304560,0.00537551,0.00310355,2.08969209,2.11639910,2.10304560,0.00537551,0.00310355,2.08969209,2.11639910,1.45772013,0.00372601,0.00215122,1.44846419,1.46697606,1.45772013,0.00372601,0.00215122,1.44846419,1.46697606
mamba2_slow_init,3,1682907,2.10384900,0.00612168,0.00353436,2.08864190,2.11905611,2.10384900,0.00612168,0.00353436,2.08864190,2.11905611,1.45827701,0.00424323,0.00244983,1.44773624,1.46881777,1.45827701,0.00424323,0.00244983,1.44773624,1.46881777
mamba2_split_ts_slow_veryslow,3,1682907,2.09663616,0.00204372,0.00117994,2.09155928,2.10171305,2.09663616,0.00204372,0.00117994,2.09155928,2.10171305,1.45327745,0.00141660,0.00081787,1.44975842,1.45679647,1.45327745,0.00141660,0.00081787,1.44975842,1.45679647
ms_gated_right_init,3,2649531,2.09299471,0.00815595,0.00470884,2.07273421,2.11325521,2.09299471,0.00815595,0.00470884,2.07273421,2.11325521,1.45075338,0.00565328,0.00326392,1.43670987,1.46479690,1.45075338,0.00565328,0.00326392,1.43670987,1.46479690
