experiment_name,output_dir,parsed_block_size,parsed_stride,epoch,split,loss,perplexity,bpc
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_2,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_2,1024,2,3,train,1.9806262334187825,7.247280053345558,2.8574396448078643
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_2,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_2,1024,2,3,val,1.9760894805334253,7.214475404211624,2.8508944939184206
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_2,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_2,1024,2,4,train,1.7960235277811687,6.02563897551738,2.5911142368497937
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_2,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_2,1024,2,4,val,1.8643748239057583,6.451901050582083,2.689724312807072
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_2,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_2,1024,2,5,train,1.668153198560079,5.302366331510489,2.4066363470056884
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_2,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_2,1024,2,5,val,1.7811394447336117,5.936617013188879,2.5696410440489035
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_2,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_2,1024,2,6,train,1.571048617362976,4.811691172144124,2.266544049265028
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_2,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_2,1024,2,6,val,1.7189858888905825,5.578868002573233,2.47997241726055
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_2,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_2,1024,2,7,train,1.5033615350723266,4.496779775087602,2.168892231312065
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_2,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_2,1024,2,7,val,1.6659070448868696,5.290469767655284,2.4033958322402746
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_2,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_2,1024,2,8,train,1.4484527508417766,4.256523515098362,2.0896756006014083
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_2,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_2,1024,2,8,val,1.6256645875048044,5.081795212774144,2.3453382385419834
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_2,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_2,1024,2,9,train,1.4055756648381552,4.0778735541334505,2.027817041256214
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_2,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_2,1024,2,9,val,1.597676991419699,4.941539841427343,2.304960672463599
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,1024,4,1,train,3.030356740951538,20.704617457001678,4.371880642295225
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,1024,4,1,val,2.4702220204003433,11.825071967433248,3.5637770587262914
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,1024,4,2,train,2.255488395690918,9.539951443724666,3.2539819232458913
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,1024,4,2,val,2.146682475952369,8.556425113129514,3.097008162419724
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,1024,4,3,train,1.9829564094543457,7.264187182292149,2.8608013782187696
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,1024,4,3,val,1.977178452824264,7.222336047254177,2.852465548842079
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,1024,4,4,train,1.7996663570404052,6.047629378807162,2.5963697285568994
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,1024,4,4,val,1.8667116334899214,6.466995544403222,2.693095616405646
