epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.867658485412598,353.4204714741471,0.003528125,0.0
1,val,5.880873153686523,358.1218006034405,0.002625,0.0
2,train,5.843584285736084,345.0137549773245,0.006353125,0.0
2,val,5.881196990966797,358.2377925736029,0.0048125,0.0
3,train,5.746301455688476,313.03075850264474,0.018715625,0.0
3,val,5.8801109313964846,357.8489361893518,0.01090625,0.0
4,train,5.485085417938232,241.06953478123535,0.046953125,0.0
4,val,5.875546218872071,356.21918117991027,0.027,0.0
5,train,5.111594382476807,165.93470746803885,0.087646875,0.0
5,val,5.920800033569336,372.7097749624364,0.02990625,0.0
6,train,4.678072863769532,107.56258495265656,0.150628125,0.0
6,val,6.005675537109375,405.7249784590173,0.029375,0.0
7,train,4.243356470489502,69.64120865374215,0.216615625,0.0
7,val,6.09546842956543,443.8419051601982,0.0329375,0.0
8,train,3.820914198303223,45.64591867357734,0.2854,0.0
8,val,6.214908157348633,500.150051974312,0.03359375,0.0
