epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.868810655212402,353.8279065401293,0.003796875,0.0
1,val,5.881705505371094,358.4200079769422,0.00315625,0.0
2,train,5.842367683410645,344.59426566828637,0.0065125,0.0
2,val,5.8771276397705075,356.78295930521125,0.00409375,0.0
3,train,5.59021915512085,267.7943017757437,0.052621875,0.0
3,val,5.740917068481445,311.3498091932535,0.0439375,0.0
4,train,4.784180812072754,119.60334532530932,0.15751875,0.0
4,val,5.054930023193359,156.7935580477755,0.1269375,0.0
5,train,1.2429200500488282,3.465718775855857,0.746678125,0.0065
5,val,1.4045920639038085,4.073864525860652,0.7078125,0.004
6,train,0.23397482311725618,1.2636126779790608,0.969328125,0.61425
6,val,0.32327314853668215,1.3816426930478805,0.94353125,0.4015
7,train,0.05774697200059891,1.0594468920652824,0.99560625,0.93235
7,val,0.10742299556732178,1.113405120315751,0.98234375,0.7565
8,train,0.019881832069158552,1.0200807920679549,0.9998125,0.997
8,val,0.05274036931991577,1.0541559183689615,0.99096875,0.866
9,train,0.010133749116957188,1.0101852694368068,0.99999375,0.9999
9,val,0.035723552942276,1.0363693056408012,0.99390625,0.908
10,train,0.006495417093485594,1.006516558063447,1.0,1.0
10,val,0.028597520411014557,1.0290103554544223,0.9951875,0.9275
11,train,0.004809032884985209,1.0048206148421912,1.0,1.0
11,val,0.024664801359176636,1.024971493884422,0.9955625,0.9305
12,train,0.0037034146524965762,1.003710280765946,1.0,1.0
12,val,0.02178135693073273,1.0220203023841572,0.9961875,0.94
13,train,0.002964053015038371,1.0029684501635634,1.0,1.0
13,val,0.019907895982265472,1.020107379711569,0.99625,0.941
14,train,0.002415937501192093,1.0024188582298226,1.0,1.0
14,val,0.018518810033798218,1.0186913466080205,0.99628125,0.941
15,train,0.0020044661469757557,1.0020064764322014,1.0,1.0
15,val,0.01712013080716133,1.017267520153527,0.9964375,0.944
16,train,0.0016876636158674955,1.0016890885215821,1.0,1.0
16,val,0.016065057814121247,1.016194794667672,0.9965625,0.9465
17,train,0.0014363275546580552,1.0014373595671238,1.0,1.0
17,val,0.015088915169239044,1.01520332757847,0.99671875,0.9485
18,train,0.0012320649662986398,1.0012328242701445,1.0,1.0
18,val,0.014452029854059219,1.0145569653383713,0.9966875,0.948
19,train,0.0010667725131846965,1.0010673417173679,1.0,1.0
19,val,0.01380022692680359,1.013895889607449,0.996875,0.951
20,train,0.000926051264256239,1.000926480182118,1.0,1.0
20,val,0.013116780251264571,1.0132031825734775,0.997,0.953
