run_name,d_model,n_layers,n_heads,dropout,lr,seed,params,best_val_loss,best_val_bpc,best_val_ppl,epochs_completed,status,output_dir
tsrch_d256_l6_h8_lr1em3_do0p05_s42,256,6,8,0.05,0.001,42,5034561,1.57331934,2.26982001,4.822630,50,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/TransformerLMSearch/tsrch_d256_l6_h8_lr1em3_do0p05_s42
tsrch_d256_l6_h8_lr1em3_do0p0_s42,256,6,8,0.0,0.001,42,5034561,1.57622028,2.27400518,4.836640,50,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/TransformerLMSearch/tsrch_d256_l6_h8_lr1em3_do0p0_s42
tsrch_d256_l6_h8_lr1p5em3_do0p05_s42,256,6,8,0.05,0.0015,42,5034561,1.52266630,2.19674312,4.584432,50,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/TransformerLMSearch/tsrch_d256_l6_h8_lr1p5em3_do0p05_s42
tsrch_d256_l6_h8_lr1p5em3_do0p0_s42,256,6,8,0.0,0.0015,42,5034561,1.55627750,2.24523383,4.741139,50,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/TransformerLMSearch/tsrch_d256_l6_h8_lr1p5em3_do0p0_s42
tsrch_d256_l6_h8_lr2em3_do0p05_s42,256,6,8,0.05,0.002,42,5034561,1.51442640,2.18485546,4.546812,50,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/TransformerLMSearch/tsrch_d256_l6_h8_lr2em3_do0p05_s42
tsrch_d256_l6_h8_lr2em3_do0p0_s42,256,6,8,0.0,0.002,42,5034561,1.55685687,2.24606969,4.743887,47,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/TransformerLMSearch/tsrch_d256_l6_h8_lr2em3_do0p0_s42
tsrch_d256_l6_h8_lr7em4_do0p05_s42,256,6,8,0.05,0.0007,42,5034561,1.63779044,2.36283215,5.143791,50,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/TransformerLMSearch/tsrch_d256_l6_h8_lr7em4_do0p05_s42
tsrch_d256_l6_h8_lr7em4_do0p0_s42,256,6,8,0.0,0.0007,42,5034561,1.62692236,2.34715282,5.088191,50,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/TransformerLMSearch/tsrch_d256_l6_h8_lr7em4_do0p0_s42
tsrch_d384_l4_h8_lr1em3_do0p05_s42,384,4,8,0.05,0.001,42,7541825,1.52722263,2.20331651,4.605368,50,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/TransformerLMSearch/tsrch_d384_l4_h8_lr1em3_do0p05_s42
tsrch_d384_l4_h8_lr1em3_do0p0_s42,384,4,8,0.0,0.001,42,7541825,1.55482100,2.24313255,4.734239,50,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/TransformerLMSearch/tsrch_d384_l4_h8_lr1em3_do0p0_s42
tsrch_d384_l4_h8_lr1p5em3_do0p05_s42,384,4,8,0.05,0.0015,42,7541825,1.51057426,2.17929799,4.529331,50,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/TransformerLMSearch/tsrch_d384_l4_h8_lr1p5em3_do0p05_s42
tsrch_d384_l4_h8_lr1p5em3_do0p0_s42,384,4,8,0.0,0.0015,42,7541825,1.54974598,2.23581084,4.710274,48,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/TransformerLMSearch/tsrch_d384_l4_h8_lr1p5em3_do0p0_s42
tsrch_d384_l4_h8_lr2em3_do0p05_s42,384,4,8,0.05,0.002,42,7541825,1.51681388,2.18829986,4.557681,50,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/TransformerLMSearch/tsrch_d384_l4_h8_lr2em3_do0p05_s42
tsrch_d384_l4_h8_lr2em3_do0p0_s42,384,4,8,0.0,0.002,42,7541825,1.56097554,2.25201167,4.763466,42,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/TransformerLMSearch/tsrch_d384_l4_h8_lr2em3_do0p0_s42
tsrch_d384_l4_h8_lr7em4_do0p05_s42,384,4,8,0.05,0.0007,42,7541825,1.56469936,2.25738401,4.781237,50,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/TransformerLMSearch/tsrch_d384_l4_h8_lr7em4_do0p05_s42
tsrch_d384_l4_h8_lr7em4_do0p0_s42,384,4,8,0.0,0.0007,42,7541825,1.55968821,2.25015445,4.757338,50,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/TransformerLMSearch/tsrch_d384_l4_h8_lr7em4_do0p0_s42
