epoch,split,loss,perplexity,bpc
1,train,2.8033912658691404,16.50050960975259,4.0444386769408425
1,val,2.261909099679432,9.601401713897628,3.2632450410491365
2,train,2.0125880002975465,7.482657430110171,2.903550727381906
2,val,1.9766651134676758,7.218629489357034,2.8517249566980363
3,train,1.755581784248352,5.786813439714249,2.532769134010096
3,val,1.821637238894345,6.181971533095629,2.6280670108515354
4,train,1.611507781346639,5.010360062849855,2.324914284502772
4,val,1.7308342905314673,5.6453618161837635,2.4970660475503155
5,train,1.5142881790796916,4.54618390600971,2.1846560464350495
5,val,1.6611788495756457,5.2655144366366535,2.3965744883124174
6,train,1.439660922686259,4.219264917403312,2.076991673721095
6,val,1.6219985219286595,5.063199126343401,2.3400492239157056
7,train,1.389720869064331,4.0137295405344595,2.0049434060190108
7,val,1.5911308801738482,4.909297617627209,2.295516630232102
8,train,1.353042229016622,3.869178571231708,1.9520273139156297
8,val,1.5726971729589885,4.819630054598812,2.268922412248025
9,train,1.317623782157898,3.7345367526759587,1.9009292962765594
9,val,1.5623537893200334,4.770035700815967,2.2540000639660924
10,train,1.2931841055552165,3.6443721667216016,1.8656702960409406
10,val,1.547827387596504,4.701245095630797,2.233042896237596
