epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.773460331726074,321.64882079114625,0.00370625,0.0
1,val,5.78214013671875,324.4528213164193,0.00328125,0.0
2,train,5.738672662353515,310.65179737758,0.00616875,0.0
2,val,5.790241165161133,327.09189803509423,0.003375,0.0
3,train,5.606380832672119,272.1574700190857,0.02005,0.0
3,val,5.816160446166992,335.68071196429224,0.00309375,0.0
4,train,5.256788093566895,191.86425054750066,0.064853125,0.0
4,val,5.9088419189453125,368.2794109460639,0.003375,0.0
5,train,4.803876792144775,121.98240245348163,0.138465625,0.0
5,val,6.035785598754883,418.1271608222264,0.00353125,0.0
