epoch,split,loss,perplexity,bpc
1,train,3.838824717203776,46.47082597008756,5.538253382351866
1,val,3.3929639508082254,29.75401113017529,4.895012265746052
2,train,3.2418304602305095,25.580503012107233,4.676972728377342
2,val,3.1260302988220814,22.783356670774584,4.509908409779261
3,train,3.040397532780965,20.913555406643624,4.386366442874138
3,val,2.9687383933831915,19.467343966942252,4.282984157830599
4,train,2.912786515553792,18.408021405216395,4.202262661157699
4,val,2.856223886238672,17.395714560132888,4.120660036345135
5,train,2.81903657913208,16.760695287571263,4.06701009279844
5,val,2.7844781443524345,16.191366115805536,4.017152810320961
6,train,2.758057975769043,15.769189045354825,3.9790365641262513
6,val,2.7240884993224666,15.242514031072682,3.930028968915181
7,train,2.705703083674113,14.964834523473723,3.903504420934619
7,val,2.6730666714873914,14.484319804225166,3.8564200309204275
8,train,2.6697938601175943,14.436992846033961,3.8516983621874563
8,val,2.6354241117576347,13.949227240093427,3.802113296671941
9,train,2.6364016056060793,13.962869190286137,3.8035235221995913
9,val,2.6083253174586374,13.576295817837499,3.7630180005227074
10,train,2.6174074331919353,13.700158925824423,3.776120723851916
10,val,2.585199180408117,13.265931140415567,3.7296540372850036
11,train,2.600362253189087,13.468616200554072,3.7515297271907473
11,val,2.568930640921132,13.051859850857085,3.706183496044624
12,train,2.5848180294036864,13.260875780925565,3.7291041526210815
12,val,2.5554351390065837,12.87690168080959,3.6867136023581972
13,train,2.571640221277873,13.087272869471358,3.710092594188184
13,val,2.544707733527046,12.739504211947045,3.6712372276712633
14,train,2.562208970387777,12.964423736671183,3.6964861752996625
14,val,2.53646548276561,12.634933564402752,3.659346173371976
15,train,2.557997957865397,12.90994517143481,3.690410968416504
15,val,2.5284355619466945,12.533882308100093,3.6477614464277957
16,train,2.544445244471232,12.73616067035565,3.670858536012153
16,val,2.523393194987641,12.470840946491748,3.640486848621627
17,train,2.5382147153218586,12.657054343092316,3.6618697825062374
17,val,2.5150148598185673,12.36679254604031,3.6283994660222985
18,train,2.5301681041717528,12.555616610804712,3.650260976504018
18,val,2.5099837253131514,12.30472980325655,3.6211410732212896
19,train,2.526771624883016,12.513044058351793,3.6453608926776755
19,val,2.5058279127200707,12.25369976127529,3.6151455030023882
20,train,2.518315553665161,12.40767898178252,3.6331613606662723
20,val,2.5024059712983218,12.211839980198949,3.610208685083019
