epoch,split,loss,perplexity,bpc
1,train,3.0416231473286945,20.939203078263965,4.388134630904188
1,val,2.4711018497114,11.835480590589976,3.565046384110181
2,train,2.249271519978841,9.48082672723523,3.2450128674862553
2,val,2.139079830969164,8.491620306780936,3.086039864204815
3,train,1.9740421295166015,7.199719950607569,2.84794079075949
3,val,1.9674300323881757,7.1522717419476365,2.8384015510224336
4,train,1.7888079643249513,5.982317079032233,2.580704379234289
4,val,1.8633164453896514,6.445076109444724,2.688197395370501
5,train,1.6645943880081178,5.2835297520490645,2.4015020686709105
5,val,1.7901271220039496,5.990213905980039,2.5826075214759308
6,train,1.5772535721460978,4.8416403187574515,2.2754959067595784
6,val,1.732924822914626,5.657175972510691,2.500082048252316
7,train,1.5138628403345744,4.544250649025751,2.184042412336771
7,val,1.6864336042848755,5.400187117100945,2.4330093976902907
8,train,1.465523107846578,4.32980760432784,2.1143029199984396
8,val,1.6522905120045706,5.21892014648356,2.3837513277768805
9,train,1.4201237360636394,4.137632382921704,2.0488054714677197
9,val,1.6187275083847967,5.046664390840567,2.3353301488972944
10,train,1.3808599710464478,3.9783213980479446,1.9921598323907879
10,val,1.5965910904432268,4.936176730918735,2.303394048509946
