epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.867830772399902,353.48136646798594,0.0036125,0.0
1,val,5.879301986694336,357.5595732433427,0.00334375,0.0
2,train,5.7997158256530765,330.2057105833393,0.023590625,0.0
2,val,5.839301162719726,343.539178772338,0.02184375,0.0
3,train,5.509010812377929,246.90676910980645,0.058715625,0.0
3,val,5.64480337524414,282.81794174662025,0.049625,0.0
4,train,3.747668302536011,42.422051200796574,0.3339625,0.0
4,val,3.932306716918945,51.02454119664318,0.305625,0.0
5,train,0.4166955566883087,1.5169406202025222,0.9478625,0.42635
5,val,0.5065013523101807,1.6594751079062222,0.92459375,0.2885
6,train,0.04699253761768341,1.0481141876216928,0.9975125,0.961
6,val,0.07979502177238465,1.0830650401680078,0.9890625,0.841
7,train,0.015358626133203506,1.0154771759748684,0.99991875,0.9987
7,val,0.03473010563850403,1.0353402385949768,0.99571875,0.9335
8,train,0.007982972230762244,1.0080149211126732,1.0,1.0
8,val,0.02135457926988602,1.021584220011894,0.9974375,0.9605
9,train,0.005491318400204182,1.005506423325084,0.999996875,0.99995
9,val,0.016756599307060242,1.0168977785763484,0.99796875,0.9685
10,train,0.004096694406121969,1.0041050973294685,0.999996875,0.99995
10,val,0.013941626131534577,1.0140392638161801,0.9981875,0.9715
11,train,0.0031655093748122454,1.0031705248904375,0.999996875,0.99995
11,val,0.011623382925987243,1.0116911969293252,0.998375,0.974
12,train,0.002531463661417365,1.0025346705209972,1.0,1.0
12,val,0.010248348355293273,1.0103010425328902,0.9985625,0.977
13,train,0.002070898926258087,1.0020730447184234,1.0,1.0
13,val,0.009114249497652055,1.009155910743744,0.99840625,0.9745
14,train,0.0017297657191753387,1.0017312626268724,1.0,1.0
14,val,0.008096280694007873,1.0081291442054126,0.99871875,0.9795
15,train,0.0014634667379781604,1.001464538128009,1.0,1.0
15,val,0.0074545745551586155,1.0074824290675526,0.99875,0.98
16,train,0.0012506666472181678,1.0012514490568933,1.0,1.0
16,val,0.006784097641706467,1.006807161759021,0.9988125,0.981
17,train,0.00108001709561795,1.0010806005241,1.0,1.0
17,val,0.006263436734676361,1.0062830930718532,0.99890625,0.9825
18,train,0.0009390553433448076,1.0009394963938598,1.0,1.0
18,val,0.00576751846075058,1.0057841826168872,0.99896875,0.9835
19,train,0.0008218250381760299,1.0008221628289014,1.0,1.0
19,val,0.005412025302648544,1.0054266967670913,0.99903125,0.9845
20,train,0.0007233456749469042,1.0007236073525203,1.0,1.0
20,val,0.005002398714423179,1.0050149316003216,0.9990625,0.985
