model_name,experiment_name,config_path,backbone,fusion,stride,block_size,batch_size,batch_size_requested,batch_size_effective,vocab_size,d_model,num_parameters_trainable,device,cuda_device_name,forward_latency_ms_mean,forward_latency_ms_std,forward_latency_ms_p50,forward_latency_ms_p95,tokens_per_second,max_cuda_memory_mb,status
benchmark_ms_attention_stride4_lm,benchmark_ms_attention_stride4_lm,configs/TinyShakespeare/benchmark_lm_ms_attention_stride4.yaml,multiscale_mamba2_attention_lm,residual,4,512,8,8,8,65,256,2800865,cuda:0,NVIDIA H100 80GB HBM3,3.631328,0.063223,3.627233,3.717552,1127962.0337,99.7412,ok
benchmark_ms_gated_stride2_lm,benchmark_ms_gated_stride2_lm,configs/TinyShakespeare/benchmark_lm_ms_gated_stride2.yaml,multiscale_mamba2_lm,gated,2,1024,1,1,1,65,256,2669025,cuda:0,NVIDIA H100 80GB HBM3,3.59693,0.576034,3.46712,3.791632,284687.206,56.2031,ok
benchmark_ms_gated_stride2_lm,benchmark_ms_gated_stride2_lm,configs/TinyShakespeare/benchmark_lm_ms_gated_stride2.yaml,multiscale_mamba2_lm,gated,2,1024,16,16,16,65,256,2669025,cuda:0,NVIDIA H100 80GB HBM3,3.676243,0.083662,3.659297,3.829726,4456723.4648,267.3789,ok
benchmark_ms_gated_stride2_lm,benchmark_ms_gated_stride2_lm,configs/TinyShakespeare/benchmark_lm_ms_gated_stride2.yaml,multiscale_mamba2_lm,gated,2,1024,8,8,8,65,256,2669025,cuda:0,NVIDIA H100 80GB HBM3,3.694052,0.611681,3.553117,4.067607,2217618.9887,154.2852,ok
benchmark_ms_gated_stride2_lm,benchmark_ms_gated_stride2_lm,configs/TinyShakespeare/benchmark_lm_ms_gated_stride2.yaml,multiscale_mamba2_lm,gated,2,256,1,1,1,65,256,2669025,cuda:0,NVIDIA H100 80GB HBM3,3.507467,0.172022,3.477404,3.686299,72987.15,45.7412,ok
benchmark_ms_gated_stride2_lm,benchmark_ms_gated_stride2_lm,configs/TinyShakespeare/benchmark_lm_ms_gated_stride2.yaml,multiscale_mamba2_lm,gated,2,256,16,16,16,65,256,2669025,cuda:0,NVIDIA H100 80GB HBM3,3.500927,0.086404,3.482342,3.735174,1169975.6955,99.7383,ok
benchmark_ms_gated_stride2_lm,benchmark_ms_gated_stride2_lm,configs/TinyShakespeare/benchmark_lm_ms_gated_stride2.yaml,multiscale_mamba2_lm,gated,2,256,8,8,8,65,256,2669025,cuda:0,NVIDIA H100 80GB HBM3,3.55516,0.288622,3.505524,3.717371,576064.0604,71.4961,ok
benchmark_ms_gated_stride2_lm,benchmark_ms_gated_stride2_lm,configs/TinyShakespeare/benchmark_lm_ms_gated_stride2.yaml,multiscale_mamba2_lm,gated,2,512,1,1,1,65,256,2669025,cuda:0,NVIDIA H100 80GB HBM3,3.565637,0.191384,3.536941,3.730248,143592.849,49.2285,ok
benchmark_ms_gated_stride2_lm,benchmark_ms_gated_stride2_lm,configs/TinyShakespeare/benchmark_lm_ms_gated_stride2.yaml,multiscale_mamba2_lm,gated,2,512,16,16,16,65,256,2669025,cuda:0,NVIDIA H100 80GB HBM3,3.55612,0.074013,3.53726,3.709477,2303634.2348,154.7852,ok
benchmark_ms_gated_stride2_lm,benchmark_ms_gated_stride2_lm,configs/TinyShakespeare/benchmark_lm_ms_gated_stride2.yaml,multiscale_mamba2_lm,gated,2,512,8,8,8,65,256,2669025,cuda:0,NVIDIA H100 80GB HBM3,3.530486,0.098251,3.513144,3.696748,1160180.2001,99.2383,ok
benchmark_ms_gated_stride4_lm,benchmark_ms_gated_stride4_lm,configs/TinyShakespeare/benchmark_lm_ms_gated_stride4.yaml,multiscale_mamba2_lm,gated,4,1024,1,1,1,65,256,2669025,cuda:0,NVIDIA H100 80GB HBM3,3.497281,0.0869,3.477354,3.654762,292798.9133,56.2031,ok
benchmark_ms_gated_stride4_lm,benchmark_ms_gated_stride4_lm,configs/TinyShakespeare/benchmark_lm_ms_gated_stride4.yaml,multiscale_mamba2_lm,gated,4,1024,16,16,16,65,256,2669025,cuda:0,NVIDIA H100 80GB HBM3,3.630219,0.0673,3.61825,3.766163,4513226.8124,267.3789,ok
benchmark_ms_gated_stride4_lm,benchmark_ms_gated_stride4_lm,configs/TinyShakespeare/benchmark_lm_ms_gated_stride4.yaml,multiscale_mamba2_lm,gated,4,1024,8,8,8,65,256,2669025,cuda:0,NVIDIA H100 80GB HBM3,3.620649,0.111731,3.595093,3.815985,2262577.9851,154.2852,ok
benchmark_ms_gated_stride4_lm,benchmark_ms_gated_stride4_lm,configs/TinyShakespeare/benchmark_lm_ms_gated_stride4.yaml,multiscale_mamba2_lm,gated,4,256,1,1,1,65,256,2669025,cuda:0,NVIDIA H100 80GB HBM3,3.539122,0.082138,3.52326,3.752047,72334.323,45.7412,ok
benchmark_ms_gated_stride4_lm,benchmark_ms_gated_stride4_lm,configs/TinyShakespeare/benchmark_lm_ms_gated_stride4.yaml,multiscale_mamba2_lm,gated,4,256,16,16,16,65,256,2669025,cuda:0,NVIDIA H100 80GB HBM3,3.515778,0.176743,3.482675,3.719201,1165033.5825,99.7383,ok
benchmark_ms_gated_stride4_lm,benchmark_ms_gated_stride4_lm,configs/TinyShakespeare/benchmark_lm_ms_gated_stride4.yaml,multiscale_mamba2_lm,gated,4,256,8,8,8,65,256,2669025,cuda:0,NVIDIA H100 80GB HBM3,3.479408,0.076097,3.465073,3.664336,588605.8104,71.4961,ok
benchmark_ms_gated_stride4_lm,benchmark_ms_gated_stride4_lm,configs/TinyShakespeare/benchmark_lm_ms_gated_stride4.yaml,multiscale_mamba2_lm,gated,4,512,1,1,1,65,256,2669025,cuda:0,NVIDIA H100 80GB HBM3,3.625193,0.598972,3.500488,3.82018,141233.8593,49.2285,ok
benchmark_ms_gated_stride4_lm,benchmark_ms_gated_stride4_lm,configs/TinyShakespeare/benchmark_lm_ms_gated_stride4.yaml,multiscale_mamba2_lm,gated,4,512,16,16,16,65,256,2669025,cuda:0,NVIDIA H100 80GB HBM3,3.556949,0.090538,3.53921,3.729073,2303097.6834,154.7852,ok
benchmark_ms_gated_stride4_lm,benchmark_ms_gated_stride4_lm,configs/TinyShakespeare/benchmark_lm_ms_gated_stride4.yaml,multiscale_mamba2_lm,gated,4,512,8,8,8,65,256,2669025,cuda:0,NVIDIA H100 80GB HBM3,3.545028,0.549722,3.434006,3.72529,1155421.0303,99.2383,ok
