epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,6.109121232604981,449.9431460201072,0.002840625,0.0
1,val,6.12224673461914,455.8878036526863,0.001875,0.0
2,train,6.084849822998047,439.1538569110622,0.0043625,0.0
2,val,6.125141510009765,457.209408399144,0.0025,0.0
3,train,5.985866185760498,397.76691210985655,0.012971875,0.0
3,val,6.138693115234375,463.4475024341433,0.00534375,0.0
4,train,5.714837526702881,303.33491548168814,0.037371875,0.0
4,val,6.205612060546875,495.5221527031049,0.00578125,0.0
5,train,5.325406620788574,205.49190075775397,0.08810625,0.0
5,val,6.312697647094726,551.5307791921056,0.0043125,0.0
