metric,value
experiment_name,imdb_mamba2_baseline__seed_42__4_layers
seed,42
model_lit_class,classifier_lit.SequenceClassifierLitModule
model_backbone,mamba
train_epochs,3
cuda_device_index,0
cuda_device_name,NVIDIA H100 80GB HBM3
seconds_test,2.914754638671875
seconds_train,33.25265234375
seconds_train_plus_test,36.16740698242187
test_timing_method,cuda_event
train_timing_method,cuda_event
model_total_params,9483202
model_trainable_params,9483202
train_loss_epoch_1,0.624746561050415
train_loss_epoch_2,0.36225125193595886
train_loss_epoch_3,0.19422093033790588
test/accuracy,0.8609200119972229
test/f1_macro,0.8608755469322205
test/f1_weighted,0.8608755469322205
test/loss,0.3293791711330414
confusion_matrix_0_0,10985
confusion_matrix_0_1,1515
confusion_matrix_1_0,1962
confusion_matrix_1_1,10538
