epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.867697966766357,353.4344252682628,0.00353125,0.0
1,val,5.88028303527832,357.91052868038213,0.00253125,0.0
2,train,5.8358759056091305,342.3644817256854,0.00993125,0.0
2,val,5.874554382324218,355.86604513253855,0.00871875,0.0
3,train,5.66588664932251,288.84397092438115,0.039259375,0.0
3,val,5.806253967285156,332.3717153940702,0.03265625,0.0
4,train,5.084672203826904,161.52698263182933,0.1288125,0.0
4,val,5.379016647338867,216.80897088686427,0.1055625,0.0
5,train,2.4123094944000245,11.159704681814407,0.547815625,0.0
5,val,2.644713302612305,14.079407974951168,0.50034375,0.0
6,train,0.5195411339759827,1.6812560014141118,0.907934375,0.2188
6,val,0.6490793266296386,1.9137780531776847,0.86575,0.097
7,train,0.0985406412601471,1.103559253521733,0.9896875,0.84855
7,val,0.15580519437789916,1.1685985313508358,0.9704375,0.6305
8,train,0.026922340062260627,1.0272880205418726,0.999334375,0.98935
8,val,0.06074160289764404,1.0626242996689979,0.98934375,0.842
9,train,0.012191988307237625,1.0122666135650573,0.99995625,0.9993
9,val,0.036682469248771665,1.0373635737012725,0.9941875,0.9125
10,train,0.007223396275192499,1.007249547932072,1.0,1.0
10,val,0.025887092351913454,1.0262250732725364,0.99584375,0.9355
11,train,0.005115649519860745,1.005128756796078,1.0,1.0
11,val,0.021534507274627687,1.0217680481596965,0.9963125,0.944
12,train,0.003893404183164239,1.0039009933272363,1.0,1.0
12,val,0.018474826872348787,1.0186465423273796,0.99696875,0.953
13,train,0.003088717308267951,1.0030934923105181,1.0,1.0
13,val,0.01628823935985565,1.0164216159029287,0.9973125,0.9575
14,train,0.002502431117743254,1.0025055648118988,1.0,1.0
14,val,0.01462961983680725,1.014737156491941,0.99740625,0.9595
15,train,0.0020764868002384903,1.002078644191961,1.0,1.0
15,val,0.013365573823451996,1.01345529237297,0.99753125,0.9615
16,train,0.001742024277150631,1.0017435424828975,1.0,1.0
16,val,0.012560587882995605,1.0126398033839505,0.99759375,0.962
17,train,0.0014833659570664167,1.001484466688543,1.0,1.0
17,val,0.011482428312301635,1.011548604437264,0.99784375,0.966
18,train,0.0012715941013768314,1.0012724029199496,1.0,1.0
18,val,0.01080507743358612,1.0108636631001808,0.99796875,0.9685
19,train,0.0010995368596166373,1.0011001415718837,1.0,1.0
19,val,0.010030270218849183,1.0100807419865265,0.99803125,0.9695
20,train,0.0009580573581159115,1.0009585164416643,1.0,1.0
20,val,0.009678002297878265,1.009724985607993,0.9980625,0.97
