epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.869809914398194,354.18164903671345,0.003334375,0.0
1,val,5.87956819152832,357.65477000053374,0.0028125,0.0
2,train,5.832144648742676,341.08941218772304,0.006425,0.0
2,val,5.886930725097656,360.29773276303564,0.00275,0.0
3,train,5.680769497680664,293.1749405832655,0.02450625,0.0
3,val,5.891182952880859,361.83306276554805,0.01259375,0.0
4,train,5.323105694580078,205.01962260462045,0.061334375,0.0
4,val,5.955263092041015,385.7783925525746,0.016875,0.0
5,train,4.878430978393554,131.42429447149476,0.127375,0.0
5,val,6.07111685180664,433.16419172972707,0.01328125,0.0
