model_name,experiment_name,config_path,backbone,fusion,stride,block_size,batch_size,batch_size_requested,batch_size_effective,vocab_size,d_model,num_parameters_trainable,device,cuda_device_name,forward_latency_ms_mean,forward_latency_ms_std,forward_latency_ms_p50,forward_latency_ms_p95,tokens_per_second,max_cuda_memory_mb,status
archeval_timing_mamba2_depth4_rep5,archeval_timing_mamba2_depth4_rep5,configs/TinyShakespeare/benchmark_lm_mamba2.yaml,mamba2_lm,,,1024,1,1,1,65,256,1702401,cuda:0,NVIDIA H100 80GB HBM3,2.312094,0.066946,2.302375,2.458924,442888.6014,52.5127,ok
archeval_timing_mamba2_depth4_rep5,archeval_timing_mamba2_depth4_rep5,configs/TinyShakespeare/benchmark_lm_mamba2.yaml,mamba2_lm,,,1024,8,8,8,65,256,1702401,cuda:0,NVIDIA H100 80GB HBM3,2.480249,0.435434,2.365099,2.951374,3302894.6878,150.5947,ok
archeval_timing_mamba2_depth4_rep5,archeval_timing_mamba2_depth4_rep5,configs/TinyShakespeare/benchmark_lm_mamba2.yaml,mamba2_lm,,,1024,16,16,16,65,256,1702401,cuda:0,NVIDIA H100 80GB HBM3,2.839251,0.029334,2.835719,2.867055,5770535.6353,263.6885,ok
