model_name,experiment_name,config_path,backbone,fusion,stride,block_size,batch_size,batch_size_requested,batch_size_effective,vocab_size,d_model,num_parameters_trainable,device,cuda_device_name,forward_latency_ms_mean,forward_latency_ms_std,forward_latency_ms_p50,forward_latency_ms_p95,tokens_per_second,max_cuda_memory_mb,status
archeval_timing_ms_gated_right_init_equal_param_rep0,archeval_timing_ms_gated_right_init_equal_param_rep0,configs/TinyShakespeare/benchmark_lm_ms_gated_stride2_right_init_equal_param.yaml,multiscale_mamba2_lm,gated,2,1024,1,1,1,65,192,1752785,cuda:0,NVIDIA H100 80GB HBM3,3.571463,0.296817,3.516298,3.764286,286717.2477,51.4941,ok
archeval_timing_ms_gated_right_init_equal_param_rep0,archeval_timing_ms_gated_right_init_equal_param_rep0,configs/TinyShakespeare/benchmark_lm_ms_gated_stride2_right_init_equal_param.yaml,multiscale_mamba2_lm,gated,2,1024,8,8,8,65,192,1752785,cuda:0,NVIDIA H100 80GB HBM3,3.515713,0.072235,3.510879,3.654002,2330110.8903,142.291,ok
archeval_timing_ms_gated_right_init_equal_param_rep0,archeval_timing_ms_gated_right_init_equal_param_rep0,configs/TinyShakespeare/benchmark_lm_ms_gated_stride2_right_init_equal_param.yaml,multiscale_mamba2_lm,gated,2,1024,16,16,16,65,192,1752785,cuda:0,NVIDIA H100 80GB HBM3,4.588896,0.051085,4.579084,4.59947,3570357.3164,244.4473,ok
