model_name,experiment_name,config_path,backbone,fusion,stride,block_size,batch_size,batch_size_requested,batch_size_effective,vocab_size,d_model,num_parameters_trainable,device,cuda_device_name,forward_latency_ms_mean,forward_latency_ms_std,forward_latency_ms_p50,forward_latency_ms_p95,tokens_per_second,max_cuda_memory_mb,status
archeval_timing_ms_gated_stride2,archeval_timing_ms_gated_stride2,configs/TinyShakespeare/benchmark_lm_ms_gated_stride2.yaml,multiscale_mamba2_lm,gated,2,1024,1,1,1,65,256,2669025,cuda:0,NVIDIA H100 80GB HBM3,3.473325,0.173396,3.447842,3.624816,294818.3278,56.2031,ok
archeval_timing_ms_gated_stride2,archeval_timing_ms_gated_stride2,configs/TinyShakespeare/benchmark_lm_ms_gated_stride2.yaml,multiscale_mamba2_lm,gated,2,1024,8,8,8,65,256,2669025,cuda:0,NVIDIA H100 80GB HBM3,3.497061,0.082287,3.485512,3.581118,2342538.8265,154.2852,ok
archeval_timing_ms_gated_stride2,archeval_timing_ms_gated_stride2,configs/TinyShakespeare/benchmark_lm_ms_gated_stride2.yaml,multiscale_mamba2_lm,gated,2,1024,16,16,16,65,256,2669025,cuda:0,NVIDIA H100 80GB HBM3,3.853106,0.474949,3.792746,3.951829,4252154.0017,267.3789,ok
