model_name,experiment_name,config_path,backbone,fusion,stride,block_size,batch_size,batch_size_requested,batch_size_effective,vocab_size,d_model,num_parameters_trainable,device,cuda_device_name,forward_latency_ms_mean,forward_latency_ms_std,forward_latency_ms_p50,forward_latency_ms_p95,tokens_per_second,max_cuda_memory_mb,status
archeval_timing_mamba2_depth4_rep2,archeval_timing_mamba2_depth4_rep2,configs/TinyShakespeare/benchmark_lm_mamba2.yaml,mamba2_lm,,,1024,1,1,1,65,256,1702401,cuda:0,NVIDIA H100 80GB HBM3,2.242715,0.071491,2.231643,2.305275,456589.3808,52.5127,ok
archeval_timing_mamba2_depth4_rep2,archeval_timing_mamba2_depth4_rep2,configs/TinyShakespeare/benchmark_lm_mamba2.yaml,mamba2_lm,,,1024,8,8,8,65,256,1702401,cuda:0,NVIDIA H100 80GB HBM3,2.307042,0.064737,2.298303,2.341475,3550867.3658,150.5947,ok
archeval_timing_mamba2_depth4_rep2,archeval_timing_mamba2_depth4_rep2,configs/TinyShakespeare/benchmark_lm_mamba2.yaml,mamba2_lm,,,1024,16,16,16,65,256,1702401,cuda:0,NVIDIA H100 80GB HBM3,2.805472,0.02548,2.804609,2.826556,5840016.4091,263.6885,ok
