epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.954977894592285,385.66838522689335,0.003196875,0.0
1,val,5.9692285461425785,391.20375866058214,0.0024375,0.0
2,train,5.926004025268555,374.65440907882186,0.005453125,0.0
2,val,5.969694915771484,391.38624676248173,0.00228125,0.0
3,train,5.816599854278564,335.82824520330485,0.015025,0.0
3,val,5.991592315673828,400.05111069143885,0.00353125,0.0
4,train,5.489645068359375,242.17123736761948,0.048271875,0.0
4,val,6.036960708618164,418.61879497851334,0.01421875,0.0
5,train,4.998584894561768,148.20328736436713,0.11951875,0.0
5,val,6.146865432739258,467.2504608973027,0.01253125,0.0
