epoch,split,loss,perplexity,bpc
1,train,2.514923365910848,12.365661111624785,3.6282674682153604
1,val,2.144112816572189,8.534466240571321,3.0933009275751653
2,train,2.02117805480957,7.547210726554,2.9159435564273686
2,val,1.9326815974712372,6.908009928093584,2.788270156289114
3,train,1.85945037206014,6.420207076319634,2.682619830550302
3,val,1.8019990305900573,6.061752990380465,2.599735065118995
4,train,1.7495409965515136,5.751961899641868,2.524054119556804
4,val,1.704666876912117,5.499553333843619,2.459314449688788
5,train,1.6578248659769694,5.247883570922566,2.3917357128073844
5,val,1.6277740672826766,5.092526471718222,2.3483815745563756
6,train,1.5981733004252117,4.943992980858983,2.3056766950046006
6,val,1.5742427670955659,4.827085006232368,2.2711522332440923
7,train,1.556268835067749,4.741098382212335,2.2452213306422855
7,val,1.5332753515243531,4.633327773595287,2.2120487459614666
8,train,1.5131587028503417,4.541051998083198,2.1830265566801645
8,val,1.5000489366054535,4.481908394354308,2.164113161931451
9,train,1.4906581163406372,4.440016605171528,2.150565072105521
9,val,1.4751313681602478,4.371610025576056,2.1281647095045413
10,train,1.4795169353485107,4.390824116612009,2.1344917455385337
10,val,1.4552588282823562,4.285592554623913,2.099494694772839
