experiment_name,model,input_seq_len,num_kv_pairs,vocab_size,params,best_val_answer_loss,best_val_answer_accuracy,test_answer_loss,test_answer_accuracy,test_exact_match
mqar_debug_small,Mamba2,64,2,128,1734720,3.21872725,0.26000000,3.27326149,0.26400000,0.04700000
mqar_mamba2_depth4_len128,Mamba2 depth=4,128,16,1024,2194368,6.27938397,0.00250000,6.28353717,0.00150000,0.00000000
mqar_mamba2_depth4_len128_easy_kv4_vocab256,Mamba2 depth=4,128,8,256,1800384,0.00428402,0.99881250,0.00375008,0.99893750,0.99150000
mqar_mamba2_depth6_len128,Mamba2 depth=6,128,16,1024,3028640,6.28395453,0.00193750,6.28525092,0.00137500,0.00000000
mqar_mamba2_depth6_len128_easy_kv4_vocab256,Mamba2 depth=6,128,8,256,2634656,0.00401167,0.99906250,0.00412317,0.99875000,0.99000000
mqar_ms_attention_stride4_len128,MS-attention stride=4,128,16,1024,3292832,6.28815973,0.00187500,6.28782611,0.00181250,0.00000000
mqar_ms_attention_stride4_len128_easy_kv4_vocab256,MS-attention stride=4,128,8,256,2898848,0.00342836,0.99962500,0.00344797,0.99937500,0.99500000
mqar_ms_gated_stride2_len128,MS-gated stride=2,128,16,1024,3160992,6.28598901,0.00200000,6.28845624,0.00143750,0.00000000
mqar_ms_gated_stride2_len128_easy_kv4_vocab256,MS-gated stride=2,128,8,256,2767008,0.00489841,0.99862500,0.00361457,0.99937500,0.99500000
