metric,value
experiment_name,imdb_mamba2_baseline__seed_43
seed,43
model_lit_class,mamba_heads_lit.MambaHeadsLitModule
train_epochs,3
model_total_params,11151746
model_trainable_params,11151746
train_loss_epoch_1,0.687261700630188
train_loss_epoch_2,0.3960585296154022
train_loss_epoch_3,0.16312482953071594
test/accuracy,0.8568000197410583
test/f1_macro,0.8562183976173401
test/f1_weighted,0.8562183976173401
test/loss,0.3493228256702423
confusion_matrix_0_0,9915
confusion_matrix_0_1,2585
confusion_matrix_1_0,995
confusion_matrix_1_1,11505
